frame,time_ms,detected_hz,string_id,string_name,state_id,state_name,cents_x10,confidence,yin_tau,corr_hz,corr_string_id,corr_string_name,corr_cents_x10,corr_confidence,corr_tau,fft_peak_hz,signal_amplitude
54,3456,131.803341,2,D,2,flat,-1772,0.830333,0,131.803341,2,D,-1772,0.830333,121,164.644933,27311
55,3520,139.121091,255,unknown,4,unknown,-909,0.588913,0,139.121091,2,D,-909,0.588913,115,164.962806,27311
56,3584,142.166922,255,unknown,4,unknown,-550,0.586701,0,142.166922,2,D,-550,0.586701,113,165.311602,27264
57,3648,140.772929,255,unknown,4,unknown,-714,0.615555,0,140.772929,2,D,-714,0.615555,114,130.970302,25418
58,3712,138.996168,255,unknown,4,unknown,-924,0.625942,0,138.996168,2,D,-924,0.625942,115,130.962696,28167
59,3776,137.991650,255,unknown,4,unknown,-1042,0.645295,0,137.991650,2,D,-1042,0.645295,116,130.889903,28167
60,3840,167.097517,255,unknown,4,unknown,2390,0.297563,0,167.097517,2,D,2390,0.297563,96,195.568330,28167
61,3904,184.703526,255,unknown,4,unknown,-998,0.491138,0,184.703526,3,G,-998,0.491138,87,195.177669,28167
62,3968,167.366675,255,unknown,4,unknown,2421,0.372001,0,167.366675,2,D,2421,0.372001,96,130.730014,25249
63,4032,142.852316,255,unknown,4,unknown,-469,0.489544,0,142.852316,2,D,-469,0.489544,112,130.673977,22746
64,4096,136.263415,255,unknown,4,unknown,-1246,0.653165,0,136.263415,2,D,-1246,0.653165,117,130.660948,22746
65,4160,133.677950,2,D,2,flat,-1551,0.738126,0,133.677950,2,D,-1551,0.738126,120,130.605956,22337
66,4224,133.650574,2,D,2,flat,-1554,0.755604,0,133.650574,2,D,-1554,0.755604,120,130.567583,22337
67,4288,132.696770,2,D,2,flat,-1666,0.765935,0,132.696770,2,D,-1666,0.765935,121,130.602882,22337
68,4352,132.904743,2,D,2,flat,-1642,0.780594,0,132.904743,2,D,-1642,0.780594,120,130.603603,22153
69,4416,132.109193,2,D,2,flat,-1736,0.797325,0,132.109193,2,D,-1736,0.797325,121,130.737311,32529
70,4480,131.980304,2,D,2,flat,-1751,0.836935,0,131.980304,2,D,-1751,0.836935,121,130.930996,32529
71,4544,123.533604,255,unknown,4,unknown,2130,0.458458,0,123.533604,1,A,2130,0.458458,130,247.534353,32529
72,4608,246.823751,255,unknown,4,unknown,-8,0.570587,0,246.823751,4,B,-8,0.570587,65,247.354680,32529
73,4672,247.638928,255,unknown,4,unknown,49,0.647539,0,247.638928,4,B,49,0.647539,65,247.160540,29003
74,4736,247.766281,255,unknown,4,unknown,58,0.649403,0,247.766281,4,B,58,0.649403,65,247.044434,29816
75,4800,123.776884,1,A,3,sharp,2168,0.877969,0,123.776884,1,A,2168,0.877969,129,247.014384,29162
76,4864,247.081288,255,unknown,4,unknown,10,0.652753,0,247.081288,4,B,10,0.652753,65,246.901328,28438
77,4928,247.044300,255,unknown,4,unknown,7,0.658056,0,247.044300,4,B,7,0.658056,65,246.871550,28438
78,4992,246.924668,4,B,1,in tune,-1,0.700593,0,246.924668,4,B,-1,0.700593,65,246.834656,27343
79,5056,246.999724,4,B,1,in tune,4,0.726129,0,246.999724,4,B,4,0.726129,65,246.793924,27342
80,5120,246.863696,4,B,1,in tune,-5,0.744160,0,246.863696,4,B,-5,0.744160,65,246.790393,28743
81,5184,246.952712,4,B,1,in tune,1,0.763574,0,246.952712,4,B,1,0.763574,65,493.331409,28743
82,5248,123.629164,255,unknown,4,unknown,2145,0.684422,0,123.629164,1,A,2145,0.684422,129,160.720148,28743
83,5312,82.213423,0,low E,1,in tune,-41,0.824985,0,82.213423,0,low E,-41,0.824985,195,493.415031,29278
84,5376,246.442362,255,unknown,4,unknown,-35,0.649556,0,246.442362,4,B,-35,0.649556,65,493.278061,28711
85,5440,246.801386,4,B,1,in tune,-10,0.721898,0,246.801386,4,B,-10,0.721898,65,248.965998,29074
86,5504,246.794235,255,unknown,4,unknown,-10,0.557596,0,246.794235,4,B,-10,0.557596,65,195.099318,29805
87,5568,194.014911,3,G,2,flat,-175,0.738183,0,194.014911,3,G,-175,0.738183,82,195.850685,29805
88,5632,195.855978,3,G,1,in tune,-13,0.991275,0,195.855978,3,G,-13,0.991275,82,196.585639,29805
89,5696,196.463546,3,G,1,in tune,41,0.990766,0,196.463546,3,G,41,0.990766,81,198.657178,29805
90,5760,197.993354,3,G,3,sharp,176,0.910915,0,197.993354,3,G,176,0.910915,81,203.014244,18599
91,5824,210.922878,255,unknown,4,unknown,1318,0.587059,0,210.922878,3,G,1318,0.587059,76,211.836463,31668
92,5888,399.912047,255,unknown,4,unknown,3691,0.455718,0,399.912047,5,high E,3691,0.455718,40,218.359395,31668
93,5952,215.520632,3,G,3,sharp,1724,0.887078,0,215.520632,3,G,1724,0.887078,74,219.843883,31668
94,6016,217.994910,3,G,3,sharp,1943,0.875588,0,217.994910,3,G,1943,0.875588,73,220.278228,31668
95,6080,221.272958,4,B,2,flat,-1799,0.788385,0,221.272958,4,B,-1799,0.788385,72,220.295057,24507
96,6144,221.321189,4,B,2,flat,-1796,0.758841,0,221.321189,4,B,-1796,0.758841,72,220.263041,23277
97,6208,110.128165,1,A,1,in tune,20,0.993356,0,110.128165,1,A,20,0.993356,145,220.200745,28135
98,6272,110.054477,1,A,1,in tune,9,1.000454,0,110.054477,1,A,9,1.000454,145,220.145005,28135
99,6336,199.881615,255,unknown,4,unknown,343,0.490507,0,199.881615,3,G,343,0.490507,80,165.246953,28135
100,6400,175.579064,255,unknown,4,unknown,-1804,0.599813,0,175.579064,3,G,-1804,0.599813,91,165.818742,28135
101,6464,168.796934,3,G,2,flat,-2403,0.713365,0,168.796934,3,G,-2403,0.713365,95,166.227248,26796
102,6528,167.819095,2,D,3,sharp,2475,0.739191,0,167.819095,2,D,2475,0.739191,95,166.156243,32669
103,6592,168.107571,3,G,2,flat,-2464,0.735759,0,168.107571,3,G,-2464,0.735759,95,195.441236,32669
104,6656,183.323968,3,G,2,flat,-1120,0.715906,0,183.323968,3,G,-1120,0.715906,87,195.487898,32669
105,6720,193.002928,3,G,2,flat,-265,0.877191,0,193.002928,3,G,-265,0.877191,83,195.321716,32669
106,6784,185.121603,3,G,2,flat,-961,0.728761,0,185.121603,3,G,-961,0.728761,86,195.086195,30273
107,6848,172.536182,255,unknown,4,unknown,-2073,0.682687,0,172.536182,3,G,-2073,0.682687,93,331.537670,37046
108,6912,168.862663,255,unknown,4,unknown,-2397,0.668575,0,168.862663,3,G,-2397,0.668575,95,165.887737,37046
109,6976,171.244353,255,unknown,4,unknown,-2187,0.509731,0,171.244353,3,G,-2187,0.509731,93,261.402253,37046
110,7040,262.591750,255,unknown,4,unknown,1097,0.552572,0,262.591750,4,B,1097,0.552572,61,262.022336,37046
111,7104,262.531243,4,B,3,sharp,1093,0.769980,0,262.531243,4,B,1093,0.769980,61,262.159648,31302
112,7168,262.367242,4,B,3,sharp,1082,0.744033,0,262.367242,4,B,1082,0.744033,61,262.156421,30172
113,7232,262.321076,255,unknown,4,unknown,1078,0.687526,0,262.321076,4,B,1078,0.687526,61,262.092994,30441
114,7296,130.860418,2,D,2,flat,-1883,0.853610,0,130.860418,2,D,-1883,0.853610,122,262.016587,29649
115,7360,130.825375,2,D,2,flat,-1887,0.819072,0,130.825375,2,D,-1887,0.819072,122,261.917788,28784
