"index","sample","centered"
"386","141","2"
"387","142","3"
"388","140","1"
"389","141","2"
"390","139","0"
"391","137","-2"
"392","139","0"
"393","139","0"
"394","142","3"
"395","135","-4"
"396","141","2"
"397","140","1"
"398","141","2"
"399","138","-1"
"400","142","3"
"401","139","0"
"402","141","2"
"403","138","-1"
"404","139","0"
"405","141","2"
"406","141","2"
"407","139","0"
"408","142","3"
"409","139","0"
"410","139","0"
"411","138","-1"
"412","139","0"
"413","138","-1"
"414","139","0"
"415","138","-1"
"416","139","0"
"417","139","0"
"418","141","2"
"419","140","1"
"420","139","0"
"421","137","-2"
"422","137","-2"
"423","138","-1"
"424","139","0"
"425","142","3"
"426","138","-1"
"427","140","1"
"428","139","0"
"429","138","-1"
"430","140","1"
"431","141","2"
"432","137","-2"
"433","140","1"
"434","138","-1"
"435","138","-1"
"436","141","2"
"437","143","4"
"438","139","0"
"439","138","-1"
"440","140","1"
"441","140","1"
"442","138","-1"
"443","139","0"
"444","139","0"
"445","139","0"
"446","139","0"
"447","138","-1"
"448","140","1"
"449","139","0"
"450","141","2"
"451","138","-1"
"452","141","2"
"453","141","2"
"454","139","0"
"455","141","2"
"456","138","-1"
"457","140","1"
"458","139","0"
"459","140","1"
"460","137","-2"
"461","140","1"
"462","141","2"
"463","138","-1"
"464","141","2"
"465","139","0"
"466","138","-1"
"467","141","2"
"468","140","1"
"469","139","0"
"470","138","-1"
"471","138","-1"
"472","138","-1"
"473","140","1"
"474","138","-1"
"475","140","1"
"476","138","-1"
"477","140","1"
"478","139","0"
"479","140","1"
"480","137","-2"
"481","141","2"
"482","140","1"
"483","141","2"
"484","140","1"
"485","140","1"
"486","138","-1"
"487","140","1"
"488","139","0"
"489","140","1"
"490","138","-1"
"491","138","-1"
"492","139","0"
"493","137","-2"
"494","140","1"
"495","139","0"
"496","140","1"
"497","138","-1"
"498","141","2"
"499","139","0"
"500","141","2"
"501","139","0"
"502","141","2"
"503","141","2"
"504","138","-1"
"505","141","2"
"506","138","-1"
"507","140","1"
"508","139","0"
"509","138","-1"
"510","141","2"
"511","138","-1"
"512","140","1"
"513","140","1"
"514","141","2"
"515","138","-1"
"516","138","-1"
"517","140","1"
"518","139","0"
"519","140","1"
"520","138","-1"
"521","140","1"
"522","138","-1"
"523","139","0"
"524","141","2"
"525","135","-4"
"526","140","1"
"527","141","2"
"528","138","-1"
"529","140","1"
"530","138","-1"
"531","138","-1"
"532","141","2"
"533","138","-1"
"534","141","2"
"535","140","1"
"536","139","0"
"537","140","1"
"538","140","1"
"539","140","1"
"540","141","2"
"541","139","0"
"542","141","2"
"543","138","-1"
"544","141","2"
"545","138","-1"
"546","140","1"
"547","141","2"
"548","138","-1"
"549","138","-1"
"550","140","1"
"551","141","2"
"552","138","-1"
"553","139","0"
"554","139","0"
"555","138","-1"
"556","140","1"
"557","141","2"
"558","138","-1"
"559","138","-1"
"560","141","2"
"561","141","2"
"562","138","-1"
"563","138","-1"
"564","141","2"
"565","140","1"
"566","138","-1"
"567","139","0"
"568","139","0"
"569","139","0"
"570","138","-1"
"571","140","1"
"572","141","2"
"573","139","0"
"574","138","-1"
"575","138","-1"
"576","139","0"
"577","138","-1"
"578","141","2"
"579","140","1"
"580","139","0"
"581","138","-1"
"582","141","2"
"583","142","3"
"584","139","0"
"585","138","-1"
"586","141","2"
"587","138","-1"
"588","141","2"
"589","141","2"
"590","139","0"
"591","138","-1"
"592","142","3"
"593","139","0"
"594","142","3"
"595","138","-1"
"596","141","2"
"597","142","3"
"598","138","-1"
"599","140","1"
"600","141","2"
"601","139","0"
"602","141","2"
"603","142","3"
"604","140","1"
"605","141","2"
"606","139","0"
"607","138","-1"
"608","141","2"
"609","139","0"
"610","141","2"
"611","141","2"
"612","141","2"
"613","141","2"
"614","141","2"
"615","141","2"
"616","141","2"
"617","140","1"
"618","141","2"
"619","142","3"
"620","139","0"
"621","141","2"
"622","139","0"
"623","138","-1"
"624","140","1"
"625","139","0"
"626","140","1"
"627","142","3"
"628","141","2"
"629","139","0"
"630","142","3"
"631","139","0"
"632","141","2"
"633","141","2"
"634","139","0"
"635","141","2"
"636","139","0"
"637","142","3"
"638","139","0"
"639","140","1"
"640","141","2"
"641","138","-1"
"642","141","2"
"643","141","2"
"644","142","3"
"645","139","0"
"646","139","0"
"647","140","1"
"648","139","0"
"649","141","2"
"650","139","0"
"651","139","0"
"652","142","3"
"653","139","0"
"654","142","3"
"655","142","3"
"656","141","2"
"657","140","1"
"658","141","2"
"659","142","3"
"660","139","0"
"661","139","0"
"662","141","2"
"663","142","3"
"664","139","0"
"665","142","3"
"666","140","1"
"667","141","2"
"668","138","-1"
"669","142","3"
"670","139","0"
"671","142","3"
"672","141","2"
"673","142","3"
"674","142","3"
"675","140","1"
"676","142","3"
"677","139","0"
"678","142","3"
"679","140","1"
"680","142","3"
"681","139","0"
"682","142","3"
"683","139","0"
"684","147","8"
"685","140","1"
"686","141","2"
"687","142","3"
"688","138","-1"
"689","141","2"
"690","141","2"
"691","138","-1"
"692","141","2"
"693","135","-4"
"694","139","0"
"695","139","0"
"696","139","0"
"697","141","2"
"698","140","1"
"699","144","5"
"700","140","1"
"701","138","-1"
"702","140","1"
"703","140","1"
"704","141","2"
"705","142","3"
"706","141","2"
"707","140","1"
"708","142","3"
"709","141","2"
"710","141","2"
"711","141","2"
"712","138","-1"
"713","141","2"
"714","139","0"
"715","141","2"
"716","138","-1"
"717","142","3"
"718","138","-1"
"719","141","2"
"720","138","-1"
"721","138","-1"
"722","142","3"
"723","141","2"
"724","140","1"
"725","141","2"
"726","141","2"
"727","142","3"
"728","143","4"
"729","142","3"
"730","141","2"
"731","141","2"
"732","139","0"
"733","141","2"
"734","140","1"
"735","142","3"
"736","140","1"
"737","140","1"
"738","141","2"
"739","141","2"
"740","139","0"
"741","141","2"
"742","139","0"
"743","140","1"
"744","139","0"
"745","141","2"
"746","139","0"
"747","141","2"
"748","139","0"
"749","140","1"
"750","138","-1"
"751","138","-1"
"752","139","0"
"753","141","2"
"754","138","-1"
"755","140","1"
"756","138","-1"
"757","138","-1"
"758","140","1"
"759","139","0"
"760","141","2"
"761","138","-1"
"762","141","2"
"763","138","-1"
"764","141","2"
"765","140","1"
"766","138","-1"
"767","140","1"
